Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-04-30 20:33:33,1,1,1,0,0.1194444,0.6333333,17 Kelsey Devlin,6,,,,36 Jaelee Cruz,,
2024-04-30 20:35:06,1,2,1,1,0.48611107,0.82222223,71 Shirlee Wohl,17,36 Jaelee Cruz,33 Yuge Xiao,36 Jaelee Cruz,,,
2024-04-30 20:39:14,2,1,0,0,0.50416666,0.8333334,55 Sophie Knowles,5,,,,45 Sarah Jeung,,
2024-04-30 20:42:06,2,2,0,0,0.6652778,0.8277778,30 Jean Huang,6,,,,,15 Caitlin Fitzgerald,
2024-04-30 20:44:54,3,1,1,0,0.47931033,0.63144463,71 Shirlee Wohl,2,,,,36 Jaelee Cruz,,
2024-04-30 20:48:14,3,2,1,1,0.20138887,0.66604936,71 Shirlee Wohl,13,71 Shirlee Wohl,36 Jaelee Cruz,03 Liv Player,,,
2024-04-30 20:52:06,4,1,0,1,0.7277778,0.7141975,03 Liv Player,8,32 Megan Wilson,55 Sophie Knowles,08 Nicki Chan,,,
2024-04-30 20:55:01,5,1,0,1,0.25555554,0.43888888,30 Jean Huang,5,19 Olivia Hampton,15 Caitlin Fitzgerald,45 Sarah Jeung,,,
2024-04-30 20:58:34,7,1,1,1,0.49722221,0.67530864,71 Shirlee Wohl,9,17 Kelsey Devlin,33 Yuge Xiao,23 Colette Pellegrini,,,
2024-04-30 21:03:08,9,1,0,0,0.45,0.69876546,03 Liv Player,1,,,,03 Liv Player,08 Nicki Chan,
2024-04-30 21:04:07,9,2,0,0,0.68888885,0.79999995,06 Rowse,7,,,,,08 Nicki Chan,
2024-04-30 21:06:28,9,3,0,0,0.22361107,0.4530864,06 Rowse,7,,,,,08 Nicki Chan,
2024-04-30 21:07:58,9,4,0,1,0.0597222,0.33580247,37 Hannah Henkin,6,19 Olivia Hampton,55 Sophie Knowles,06 Rowse,,,
2024-04-30 21:11:36,11,1,0,0,0.19027774,0.6265432,17 Kelsey Devlin,4,,,,16 Erin Rea,,
2024-04-30 21:12:33,11,2,0,0,0.14166667,0.6141975,17 Kelsey Devlin,7,,,,16 Erin Rea,,
2024-04-30 21:15:14,11,3,0,1,0.8027777,0.4802469,33 Yuge Xiao,3,37 Hannah Henkin,55 Sophie Knowles,06 Rowse,,,
2024-04-30 21:17:45,13,1,1,0,0.1194444,0.5716049,17 Kelsey Devlin,3,,,,17 Kelsey Devlin,,
2024-04-30 21:18:52,13,2,1,0,0.72361106,0.53641975,23 Colette Pellegrini,8,,,,,33 Yuge Xiao,
2024-04-30 21:20:36,13,3,1,1,0.1819444,0.43703702,17 Kelsey Devlin,7,23 Colette Pellegrini,03 Liv Player,16 Erin Rea,,,
2024-04-30 21:22:24,14,1,1,0,0.51944447,0.8728395,03 Liv Player,10,,,,36 Jaelee Cruz,,
2024-04-30 21:27:01,14,2,1,0,0.87361115,0.6481482,71 Shirlee Wohl,3,,,,,36 Jaelee Cruz,
2024-04-30 21:28:43,15,1,1,1,0.4875,0.6598765,30 Jean Huang,4,19 Olivia Hampton,76 Emma Palacio,15 Caitlin Fitzgerald,,,
2024-04-30 21:31:19,17,1,1,0,0.30277774,0.6382716,71 Shirlee Wohl,9,,,,33 Yuge Xiao,16 Erin Rea,
2024-04-30 21:32:40,17,2,1,0,0.25277773,0.62777776,17 Kelsey Devlin,7,,,,71 Shirlee Wohl,,
2024-04-30 21:33:50,17,3,1,1,0.47638887,0.6993827,36 Jaelee Cruz,6,17 Kelsey Devlin,23 Colette Pellegrini,33 Yuge Xiao,,,
2024-04-30 21:35:23,18,1,0,0,0.14861113,0.6080247,30 Jean Huang,1,,,,,51 Tess Johnson,
2024-04-30 21:36:55,19,1,1,1,0.5055555,0.57345676,71 Shirlee Wohl,9,17 Kelsey Devlin,36 Jaelee Cruz,17 Kelsey Devlin,,,
2024-04-30 21:39:08,21,1,1,1,0.7013889,0.6037037,71 Shirlee Wohl,9,23 Colette Pellegrini,71 Shirlee Wohl,52 Caitlin Connell,,,
2024-04-30 21:42:41,23,1,1,0,0.48611107,0.67654324,71 Shirlee Wohl,3,,,,,33 Yuge Xiao,
2024-04-30 21:43:13,23,2,1,1,0.49166667,0.8320988,17 Kelsey Devlin,12,17 Kelsey Devlin,71 Shirlee Wohl,36 Jaelee Cruz,,,
2024-04-30 21:46:12,24,1,0,0,0.8847223,0.84197533,55 Sophie Knowles,1,,,,55 Sophie Knowles,,
2024-04-30 21:48:14,25,1,0,0,0.2847222,0.67901236,17 Kelsey Devlin,2,,,,,17 Kelsey Devlin,
2024-04-30 21:51:53,26,1,1,1,0.70555556,0.63580245,71 Shirlee Wohl,9,17 Kelsey Devlin,23 Colette Pellegrini,16 Erin Rea,,,
2024-04-30 21:53:50,27,1,0,1,0.175,0.5493827,17 Kelsey Devlin,27,36 Jaelee Cruz,23 Colette Pellegrini,16 Erin Rea,,,
2024-04-30 22:02:14,28,1,0,0,0.55833334,0.5308642,03 Liv Player,1,,,,03 Liv Player,,
2024-04-30 22:02:54,28,2,0,0,0.69027776,0.45061728,55 Sophie Knowles,1,,,,55 Sophie Knowles,,
2024-04-30 22:04:27,28,3,0,0,0.22361107,0.8067901,37 Hannah Henkin,2,,,,19 Olivia Hampton,,
2024-04-30 22:06:10,29,1,1,1,0.85833335,0.69074076,71 Shirlee Wohl,10,36 Jaelee Cruz,33 Yuge Xiao,23 Colette Pellegrini,,,
2024-04-30 22:08:18,30,1,0,0,0.23888887,0.82901233,30 Jean Huang,1,,,,30 Jean Huang,19 Olivia Hampton,
2024-04-30 22:10:21,31,1,1,1,0.15,0.63703704,17 Kelsey Devlin,10,71 Shirlee Wohl,36 Jaelee Cruz,33 Yuge Xiao,,,
2024-04-30 22:12:48,32,1,0,0,0.72083336,0.6080247,24 Annika Chan,0,,,,,,