match,week,team,opponent,Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
PHL @ INDY,Week 1,INDY,PHL,11 T-Lo (Tracey Lo),16,"2,4,6,7,9,10,12,13,15,16,17,18,20,21,22,24",13,3,7,3,65,16,65,51,14,3,2,0,9,9,0,0,0,0,706.13,311.45,13.32,5.88,508.76,-7.93,9.98,-0.16
PHL @ INDY,Week 1,INDY,PHL,77 Kat (Katrina McGuire),16,"5,7,8,10,11,13,15,16,17,18,19,20,21,22,23,24",8,8,5,3,27,10,24,24,3,1,1,3,2,2,0,0,0,0,276.41,49.28,12.56,2.24,302.74,104.53,12.61,4.36
PHL @ INDY,Week 1,INDY,PHL,18 LG (Laura Grencser),15,"2,4,6,7,9,10,12,13,15,16,17,18,20,22,24",12,3,7,3,54,15,53,44,10,5,4,1,4,4,0,2,0,0,521.08,181.69,10.63,3.71,444.13,59.94,10.09,1.36
PHL @ INDY,Week 1,INDY,PHL,27 Eliza (Eliza Hutchins),14,"2,4,6,7,10,12,13,15,16,17,18,20,22,24",11,3,7,3,12,8,10,12,0,0,0,2,1,0,1,0,0,0,90.65,25.66,9.07,2.57,182.03,151.33,15.17,12.61
PHL @ INDY,Week 1,INDY,PHL,04 Mast (Rachel Mast),14,"2,4,6,7,9,10,12,13,16,17,18,20,22,24",11,3,6,3,25,13,24,25,0,1,2,1,2,2,0,0,0,0,233.85,48.85,11.14,2.33,322.39,130.87,12.9,5.23
PHL @ INDY,Week 1,INDY,PHL,32 Shani (Shani Rosenthal),12,"2,4,6,9,10,12,15,16,18,20,22,24",11,1,6,1,11,9,11,10,1,0,1,0,2,1,1,1,0,0,91.77,22.08,9.18,2.21,125.58,86.79,12.56,8.68
PHL @ INDY,Week 1,INDY,PHL,19 Gibbs (Melissa Gibbs),8,"1,3,5,8,14,18,21,23",2,6,1,0,4,3,3,4,0,0,0,1,0,0,0,1,0,0,34.64,-9.38,11.55,-3.13,57.96,40.58,14.49,10.15
PHL @ INDY,Week 1,INDY,PHL,09 Champ (Corinn Rains),8,"5,8,10,17,20,21,23,24",4,4,1,1,6,2,6,4,2,0,0,0,1,1,0,2,0,0,61.08,12.45,12.22,2.49,46.31,36.58,11.58,9.14
PHL @ INDY,Week 1,INDY,PHL,40 Skittles (Claire Milton),7,"3,5,8,14,19,21,23",1,6,0,0,3,2,3,3,0,0,0,0,1,1,0,0,0,0,28.6,28.56,14.3,14.28,34.91,23.28,11.64,7.76
PHL @ INDY,Week 1,INDY,PHL,82 Dickson (Riley Dickson),7,"2,6,11,12,15,19,21",5,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
PHL @ INDY,Week 1,INDY,PHL,17 Duds (Kristin Dudley),6,"2,4,6,7,12,13",5,1,3,1,10,5,10,8,2,0,0,0,1,1,0,0,0,0,108.03,23.28,12,2.59,79.11,6.14,9.89,0.77
PHL @ INDY,Week 1,INDY,PHL,15 Squid (Sydney Loughran),6,"4,7,9,13,17,22",4,2,3,2,5,3,4,5,0,0,0,1,0,0,0,1,0,0,33.94,17.82,8.48,4.45,92.45,68.63,18.49,13.73
PHL @ INDY,Week 1,INDY,PHL,33 Jalyn (Jalyn Baumgartner),5,"1,3,11,14,19",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHL @ INDY,Week 1,INDY,PHL,10 Lexie (Lexie Thomas),5,"1,3,11,14,21",1,4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,11.07,4.43,11.07,4.43,0,0,0,0
PHL @ INDY,Week 1,INDY,PHL,06 Risa (Risa Umeno),5,"1,3,11,14,19",0,5,0,0,4,2,4,2,2,0,0,0,1,1,0,0,0,0,32.33,1.96,10.78,0.65,19.67,-17.14,9.84,-8.57
PHL @ INDY,Week 1,INDY,PHL,16 Kuz (Riely Kuznicki),5,"1,3,5,8,23",0,5,0,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,39.16,-24.13,13.05,-8.04,37.83,28.56,12.61,9.52
PHL @ INDY,Week 1,INDY,PHL,07 Annie (Annie Melink),5,"1,3,5,8,23",0,5,0,0,6,4,6,4,2,0,0,0,1,1,0,0,0,0,74.6,32.23,14.92,6.45,51.84,-28.48,12.96,-7.12
PHL @ INDY,Week 1,INDY,PHL,23 Lili (Lili Hobday),4,"5,8,19,23",0,4,0,0,3,2,2,2,1,0,0,0,0,0,0,0,0,1,12.26,-4.6,6.13,-2.3,29.8,0.17,14.9,0.09
PHL @ INDY,Week 1,INDY,PHL,66 Graber (Rachel Graber),3,"1,11,14",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHL @ INDY,Week 1,INDY,PHL,05 Lizzie (Lizzie Tilden),3,"11,14,19",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHL @ INDY,Week 1,INDY,PHL,91 Sammy (Samantha Phillips),3,"9,15,16",2,1,1,1,2,2,1,2,0,0,0,1,1,0,1,0,0,0,14.64,-8.1,14.64,-8.1,34.92,31.8,17.46,15.9
PHL @ INDY,Week 1,INDY,PHL,29 Schlonny (Emily Hess),1,9,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.82,7.84,12.82,7.84,12.62,5.71,12.62,5.71
PHL @ INDY,Week 1,PHL,INDY,09 Sarah Hirannet,15,"1,3,5,7,8,10,12,13,14,15,17,19,21,22,24",8,7,5,1,9,6,9,9,0,2,0,0,0,0,0,1,0,0,82.72,9.94,9.19,1.1,97.64,61.26,10.85,6.81
PHL @ INDY,Week 1,PHL,INDY,29 Sara Liang,15,"1,3,5,7,8,10,11,13,14,15,19,20,21,23,24",9,6,7,2,43,14,41,30,13,2,1,2,3,2,1,0,0,0,371.36,53.02,9.52,1.36,256.08,13.22,8.54,0.44
PHL @ INDY,Week 1,PHL,INDY,27 Kit Asterin,13,"2,4,6,9,11,12,13,16,17,18,20,22,23",5,8,2,3,39,11,38,27,12,1,1,0,7,6,1,0,0,1,337.62,125.23,10.89,4.04,260.8,-3.65,9.66,-0.14
PHL @ INDY,Week 1,PHL,INDY,19 Grace Maroon,13,"1,3,5,7,8,10,12,14,15,19,21,22,24",6,7,5,1,20,8,17,20,0,1,1,3,1,0,1,1,0,0,129.64,37.53,8.1,2.35,186.13,101.27,9.31,5.06
PHL @ INDY,Week 1,PHL,INDY,00 Emilie Mohler,12,"1,3,5,7,8,12,14,15,17,19,21,24",7,5,5,1,30,10,29,27,3,0,1,0,3,2,1,2,0,0,347.05,179.7,12.85,6.66,255.82,-56.75,9.47,-2.1
PHL @ INDY,Week 1,PHL,INDY,99 Veronica Kolegue-Spalaris,11,"2,4,6,9,11,13,16,17,18,20,23",5,6,2,3,9,6,9,9,0,1,1,0,0,0,0,2,0,0,101.18,4.86,11.24,0.54,104.84,42.17,11.65,4.69
PHL @ INDY,Week 1,PHL,INDY,66 Jess Brand,10,"1,5,7,10,14,15,17,19,22,24",5,5,3,0,2,1,1,2,0,0,1,1,0,0,0,0,0,0,7.66,-4.15,7.66,-4.15,61.88,61.47,30.94,30.74
PHL @ INDY,Week 1,PHL,INDY,73 Chelsea Semper,10,"1,5,7,10,15,17,19,21,22,24",4,6,2,1,7,6,6,7,0,0,0,1,2,2,0,0,0,0,20.73,-7.93,10.37,-3.97,70.83,48.53,10.12,6.93
PHL @ INDY,Week 1,PHL,INDY,21 Linda Morse,10,"2,4,9,11,12,13,16,18,20,23",4,6,2,2,11,6,9,11,0,0,1,2,1,0,1,0,0,0,98.4,31.95,10.93,3.55,142.34,95.14,12.94,8.65
PHL @ INDY,Week 1,PHL,INDY,17 Allie Milligan,9,"1,3,5,8,10,14,15,19,22",6,3,5,0,17,7,17,14,3,1,0,0,0,0,0,0,0,0,153.02,6.5,9,0.38,132.35,-6.65,9.45,-0.47
PHL @ INDY,Week 1,PHL,INDY,15 Layne Dodge,7,"2,6,11,13,18,20,23",3,4,2,2,4,4,4,4,0,0,0,0,1,1,0,1,0,0,26.99,8.93,9,2.98,61.23,53.11,15.31,13.28
PHL @ INDY,Week 1,PHL,INDY,23 Natalie Bova,7,"2,4,9,11,16,20,23",3,4,2,2,19,8,19,18,1,3,1,0,4,4,0,2,0,0,171.23,84.7,12.23,6.05,174.53,54.75,9.7,3.04
PHL @ INDY,Week 1,PHL,INDY,03 Rachel Alfano,7,"4,6,11,16,18,20,23",3,4,2,2,3,3,3,3,0,0,1,0,1,0,1,0,0,0,19.74,-8.79,9.87,-4.4,29.43,25.59,9.81,8.53
PHL @ INDY,Week 1,PHL,INDY,33 Jana Graham,6,"4,6,9,12,16,18",1,5,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PHL @ INDY,Week 1,PHL,INDY,22 Liz Hart,6,"2,6,9,12,13,17",2,4,0,2,5,4,3,4,1,0,0,2,1,0,1,4,0,0,23.38,3.29,7.79,1.1,54.6,39.81,13.65,9.95
PHL @ INDY,Week 1,PHL,INDY,10 Neena Kashyap,6,"3,8,14,21,22,24",3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,14.59,7.72,14.59,7.72,39.66,38.67,39.66,38.67
PHL @ INDY,Week 1,PHL,INDY,08 Joanna Maida,6,"2,4,6,9,16,18",1,5,0,2,13,7,13,8,5,0,0,0,0,0,0,0,0,0,122.47,41.89,10.21,3.49,79.64,-20.09,9.96,-2.51
PHL @ INDY,Week 1,PHL,INDY,48 Caroline Weinberg,5,"3,7,8,10,21",2,3,2,1,2,2,2,2,0,0,0,0,2,1,1,0,0,0,8.51,-4.72,8.51,-4.72,28.53,21.8,14.26,10.9
RAL @ LA,Week 1,LA,RAL,03 Chip Yen,10,"1,4,7,8,11,14,15,16,18,20",8,3,5,0,9,7,8,9,0,0,0,1,0,0,0,4,0,0,89.3,20.76,11.16,2.6,123.82,61.63,13.76,6.85
RAL @ LA,Week 1,LA,RAL,50 Lilet Brooks,10,"1,4,7,8,11,14,15,16,18,20",8,3,5,0,10,7,9,9,1,0,0,1,5,2,3,1,0,0,66.88,-2.57,9.55,-0.37,198.02,179.84,22,19.98
RAL @ LA,Week 1,LA,RAL,01 Maggie O'Connor,10,"1,4,7,8,11,14,15,16,18,20",8,3,5,0,43,9,42,31,12,2,2,1,5,5,0,1,0,0,528.84,252.37,14.69,7.01,341.46,36.81,11.01,1.19
RAL @ LA,Week 1,LA,RAL,00 Stephanie Pritchard,9,"1,4,7,8,11,14,16,18,20",8,2,5,0,7,5,7,7,0,0,0,0,0,0,0,0,0,0,67.45,4.13,9.64,0.59,132.88,97.06,18.98,13.87
RAL @ LA,Week 1,LA,RAL,11 Emily Ash,9,"1,4,7,8,11,14,16,18,20",8,2,5,0,4,3,3,4,0,0,0,1,0,0,0,0,0,0,26.96,-1.76,8.99,-0.59,53.67,22.89,13.42,5.72
RAL @ LA,Week 1,LA,RAL,25 Samantha Wool,9,"1,4,7,8,11,14,16,18,20",8,2,5,0,40,8,40,34,6,3,1,0,4,4,0,1,0,0,440.97,153.96,12.6,4.4,351.38,44.16,10.33,1.3
RAL @ LA,Week 1,LA,RAL,44 Nadine Meister,9,"3,5,9,12,13,15,16,18,20",5,4,4,1,25,8,25,21,4,1,2,0,2,2,0,0,0,0,291.91,155.68,12.69,6.77,237.72,13.37,11.32,0.64
RAL @ LA,Week 1,LA,RAL,93 Naomi Guzman,7,"3,5,9,12,13,17,19,21",3,4,3,1,17,8,16,7,10,1,0,1,3,3,0,0,0,0,199.74,104.11,16.65,8.68,77.38,34.34,11.05,4.91
RAL @ LA,Week 1,LA,RAL,24 Avalon Igawa,7,"3,5,9,12,13,17,19",3,4,3,1,8,4,6,7,1,1,0,2,0,0,0,2,0,0,69.64,36.1,11.61,6.02,119.13,51.41,17.02,7.34
RAL @ LA,Week 1,LA,RAL,26 Cameron Helm,7,"3,5,9,12,13,17,19",3,4,3,1,11,5,10,11,0,0,0,1,3,2,1,0,0,0,91.76,34.81,13.11,4.97,138.87,67.6,12.62,6.15
RAL @ LA,Week 1,LA,RAL,20 Madee Shade,6,"1,4,7,8,11,14,21",5,2,3,0,10,4,9,10,0,0,0,1,2,2,0,0,0,0,94.12,17.81,13.45,2.54,123.29,42.27,12.33,4.23
RAL @ LA,Week 1,LA,RAL,02 Iman Haq,5,"3,5,9,12,13,21",2,3,2,1,7,3,7,7,0,0,0,0,1,1,0,0,0,0,52.73,10.77,10.55,2.15,78.42,22.49,11.2,3.21
RAL @ LA,Week 1,LA,RAL,29 Hanae Oda,4,"2,6,10,15,21",0,4,0,0,5,4,5,5,0,0,0,0,0,0,0,0,0,0,58.69,18.74,11.74,3.75,69.38,24.22,13.88,4.84
RAL @ LA,Week 1,LA,RAL,41 Natalie So,5,"2,6,10,17,19",1,4,1,0,9,5,9,7,2,0,0,0,2,2,0,0,0,0,74.8,25.74,10.69,3.68,84.53,9.82,12.08,1.4
RAL @ LA,Week 1,LA,RAL,05 Sharon Tseng,5,"2,6,10,17,19",1,4,1,0,5,4,5,4,1,0,0,0,1,1,0,1,0,0,41.24,-20.12,10.31,-5.03,57.86,49.38,14.46,12.34
RAL @ LA,Week 1,LA,RAL,16 Karli Steiner,5,"2,6,10,17,19",1,4,1,0,18,6,18,10,8,0,0,0,7,6,1,1,0,0,186.52,71.39,15.54,5.95,113.51,3.59,11.35,0.36
RAL @ LA,Week 1,LA,RAL,07 Jessica Martinez,5,"2,6,10,17,19",1,4,1,0,4,3,3,3,1,0,1,0,0,0,0,1,0,0,33.16,1.22,16.58,0.61,70.92,60.76,23.64,20.25
RAL @ LA,Week 1,LA,RAL,34 Amanda Ring,5,"3,5,9,12,13",2,3,2,1,6,3,6,4,2,0,1,0,2,1,1,2,0,0,52.16,10.7,10.43,2.14,73.59,59.33,18.4,14.83
RAL @ LA,Week 1,LA,RAL,15 Violet Wei,3,"3,5,13,21",1,2,1,1,2,1,2,2,0,1,0,0,1,1,0,0,0,0,20.74,20.73,20.74,20.73,27.12,19.51,13.56,9.75
RAL @ LA,Week 1,LA,RAL,40 Veronica Yee,4,"2,6,10,15",0,4,0,0,2,2,2,2,0,0,0,0,1,0,1,0,0,0,24.93,11.24,12.46,5.62,31.99,17.2,15.99,8.6
RAL @ LA,Week 1,LA,RAL,89 Lexy Roy,2,"9,12,21",1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,7.47,6.91,7.47,6.91,15.04,15.04,15.04,15.04
RAL @ LA,Week 1,LA,RAL,23 Frances Lebar,1,"2,21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAL @ LA,Week 1,LA,RAL,17 Rachel Johnston,2,"6,10",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAL @ LA,Week 1,RAL,LA,88 Maddie Pletzke,16,"2,3,4,5,6,8,9,12,14,15,16,17,19,21,22,23",11,5,7,2,11,7,9,10,1,1,1,2,4,1,3,0,0,0,107.95,17.29,13.49,2.16,166.33,105.20,16.63,10.52
RAL @ LA,Week 1,RAL,LA,02 Claire Bidigare-Curtis,16,"2,4,5,6,8,9,11,12,14,15,16,17,19,21,22,23",11,5,7,2,14,6,13,14,0,0,1,1,1,0,1,2,0,0,154.86,40.28,12.90,3.36,198.10,30.54,14.15,2.18
RAL @ LA,Week 1,RAL,LA,15 Carmen Tormey,16,"2,4,5,6,7,8,10,12,14,15,16,17,19,21,22,23",11,5,8,3,8,7,7,7,1,2,1,1,1,0,1,0,0,0,91.43,55.31,18.29,11.06,141.48,75.28,20.21,10.75
RAL @ LA,Week 1,RAL,LA,21 Julia Hoffmann,15,"2,4,5,6,8,9,11,12,14,15,16,17,19,22,23",11,4,7,2,6,5,4,6,0,1,0,2,1,1,0,2,0,0,71.88,65.19,23.96,21.73,78.56,73.43,13.09,12.24
RAL @ LA,Week 1,RAL,LA,06 Jenny Wei,15,"2,4,5,6,8,9,11,12,14,15,16,17,19,22,23",11,4,7,2,22,11,20,19,3,3,1,2,3,2,1,2,0,0,254.56,104.44,14.97,6.14,253.13,111.44,13.32,5.87
RAL @ LA,Week 1,RAL,LA,59 Audrey Lyman,15,"2,4,5,6,8,9,11,12,14,15,16,17,19,22,23",11,4,7,2,48,14,48,24,24,2,1,0,7,7,0,0,0,0,544.54,209.16,13.96,5.36,291.94,19.42,12.16,0.81
RAL @ LA,Week 1,RAL,LA,45 Caitlin Gross,13,"2,4,5,6,8,12,14,15,16,17,19,22,23",10,3,7,2,21,9,21,21,0,0,3,0,3,3,0,0,0,0,217.50,92.64,12.79,5.45,289.05,136.49,13.76,6.50
RAL @ LA,Week 1,RAL,LA,22 Julia Zwierzynski,10,"1,3,7,9,10,11,13,18,20,21",2,8,1,2,5,4,5,5,0,0,0,0,2,1,1,0,0,0,28.62,19.97,9.54,6.66,66.78,46.46,13.36,9.29
RAL @ LA,Week 1,RAL,LA,43 Claire Hackl,9,"1,3,7,10,11,13,18,20,21",1,8,1,2,5,5,4,2,3,0,0,1,2,1,1,1,0,0,49.33,23.06,16.44,7.69,24.27,12.83,12.13,6.42
RAL @ LA,Week 1,RAL,LA,09 Jinny Riedel,8,"1,3,7,10,11,13,18,20",1,7,1,2,23,9,23,10,13,2,0,0,7,7,0,1,0,0,268.15,188.51,17.88,12.57,91.32,3.28,9.13,0.33
RAL @ LA,Week 1,RAL,LA,24 Hannah Boettcher,8,"1,3,7,10,13,18,20,21",1,7,1,2,7,6,7,7,0,1,0,0,2,1,1,1,0,0,62.75,0.14,10.46,0.02,147.98,76.93,21.14,10.99
RAL @ LA,Week 1,RAL,LA,48 Natalie Baumgarten,8,"1,3,7,10,13,18,20,21",1,7,1,2,9,5,7,7,2,0,1,2,2,1,1,2,0,0,101.70,64.92,20.34,12.98,152.36,121.39,21.77,17.34
RAL @ LA,Week 1,RAL,LA,18 Sarah McKee,6,"1,7,9,13,18,20",2,4,1,1,8,4,8,6,2,0,1,0,2,1,1,0,0,0,74.81,24.55,12.47,4.09,72.43,39.12,12.07,6.52
RAL @ LA,Week 1,RAL,LA,19 Sydney Kelley,6,"1,3,10,13,18,20",0,6,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6.81,2.88,6.81,2.88,22.93,18.32,22.93,18.32
