match,week,team,opponent,Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 01:22:21,1,18 Naomi Anderson,0,0,0,0,0.16113417,0.7556853
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 01:39:50,4,10 Mia Griner,0,0,0,0,0.12793915,0.44837123
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 01:47:40,5,05 Megan Jarriel,0,0,0,0,0.511065,0.6899201
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 01:54:39,6,18 Naomi Anderson,1,0,0,0,0.730982,0.88045484
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 02:14:02,8,31 María Vargas,0,0,0,0,0.49031812,0.6462815
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 02:45:17,13,72 Annalise Paul,0,0,0,0,0.7738589,0.6235403
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 02:45:44,13,72 Annalise Paul,0,0,0,0,0.59820193,0.69483715
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 02:47:10,13,10 Mia Griner,0,0,0,0,0.60926694,0.6112477
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 03:20:18,19,27 Therese Doebler,0,0,0,0,0.9038727,0.5669945
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 03:46:35,27,20 Soju Hokari,0,0,0,0,0.86652833,0.6880762
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 14:58:52,1,10 Gaby Cuina,0,0,0,0,0.85684645,0.7065151
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 19:59:52,7,12 Annie Ortiz,0,0,0,0,0.5871369,0.48832208
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:12:44,8,22 Sydney Loughran,0,0,0,0,0.69640386,0.6364474
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:41:02,11,19 Vanessa Bacorn,0,0,0,0,0.6023513,0.79809463
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:12:09,13,69 Jaime Estes,0,0,0,0,0.30774552,0.42194223
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:13:23,13,02 Elise Bjork,0,0,0,0,0.51798064,0.6591887
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:45:32,15,95 Megan Mendieta,0,0,0,0,0.8167358,0.6929932
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:52:40,15,31 Nikki Gilbert,0,0,0,0,0.4515906,0.76060236
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:55:54,16,10 Gaby Cuina,0,0,0,0,0.5013831,0.45574677
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:34:16,26,71 Wren Vogel,0,0,0,0,0.5746888,0.7052858
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:37:15,26,31 Nikki Gilbert,0,0,0,0,0.19156294,0.23202212
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:38:48,27,27 Jocelyn Jessop,0,0,0,0,0.22337483,0.8183774
DC @ RAL,Week 1,DC,RAL,4/6/24 17:48,2,22 Erin McCann,0,0,0,0,0.24861106,0.71234566
DC @ RAL,Week 1,DC,RAL,4/6/24 17:59,4,24 Jamie Eriksson,1,0,0,0,0.64861107,0.8993827
DC @ RAL,Week 1,DC,RAL,4/6/24 18:09,5,16 Margaret Walker,0,0,0,0,0.84583336,0.7407408
DC @ RAL,Week 1,DC,RAL,4/6/24 18:35,7,05 Marie Perivier,0,0,0,0,0.6625,0.71358025
DC @ RAL,Week 1,DC,RAL,4/6/24 18:45,8,00 Emma Jones,0,0,0,0,0.7847222,0.5395062
DC @ RAL,Week 1,DC,RAL,4/6/24 18:45,8,07 Kami Groom,0,1,0,1,0.62638885,0.08024691
DC @ RAL,Week 1,DC,RAL,4/6/24 18:57,11,09 Annalise Peters,0,0,0,0,0.23472227,0.6388889
DC @ RAL,Week 1,DC,RAL,4/6/24 19:32,15,01 Ashleigh Jentilet,0,0,0,0,0.52361107,0.7796296
DC @ RAL,Week 1,DC,RAL,4/6/24 21:39,16,15 Florence Brooks,1,0,0,0,0.8402778,0.9327161
DC @ RAL,Week 1,DC,RAL,4/6/24 21:46,17,22 Erin McCann,0,0,0,0,0.15,0.46358025
DC @ RAL,Week 1,DC,RAL,4/6/24 22:16,24,07 Kami Groom,0,0,0,0,0.72083336,0.6623457
DC @ RAL,Week 1,DC,RAL,4/6/24 22:22,25,05 Marie Perivier,0,0,0,0,0.2625,0.71358025
DC @ RAL,Week 1,RAL,DC,2024-04-07 18:35:26,5,02 Claire Bidigaire-Curtis,0,0,0,0,0.006289308,0.26029527
DC @ RAL,Week 1,RAL,DC,2024-04-07 19:08:01,7,13 Tyler Smith,0,0,0,0,0.2725367,0.6938617
DC @ RAL,Week 1,RAL,DC,2024-04-07 19:11:32,7,13 Tyler Smith,0,0,0,0,0.1341719,0.4957265
DC @ RAL,Week 1,RAL,DC,2024-04-07 19:15:04,8,12 Katie Backus Meilstrup,0,0,0,0,0.9979036,0.7241647
DC @ RAL,Week 1,RAL,DC,2024-04-07 19:16:58,8,27 Mary Rippe,0,0,0,0,0.8218029,0.57420355
DC @ RAL,Week 1,RAL,DC,2024-04-07 19:23:36,10,90 Qxhna Titcomb,0,0,0,0,0.30607966,0.32789433
DC @ RAL,Week 1,RAL,DC,2024-04-07 19:26:03,10,90 Qxhna Titcomb,0,0,0,0,0.36268345,0.28282827
DC @ RAL,Week 1,RAL,DC,2024-04-07 19:29:46,11,02 Claire Bidigaire-Curtis,1,0,0,0,0.6771488,0.85159284
DC @ RAL,Week 1,RAL,DC,2024-04-07 19:30:48,11,45 Caitlin Gross,0,0,0,0,0.30398324,0.63714063
DC @ RAL,Week 1,RAL,DC,2024-04-07 20:57:06,12,18 Sarah McKee,1,0,0,0,0.6981132,0.84537685
DC @ RAL,Week 1,RAL,DC,2024-04-07 20:59:19,12,01 Lindsay Soo,0,0,0,0,0.2557652,0.6130536
DC @ RAL,Week 1,RAL,DC,2024-04-07 21:03:00,12,17 Emily Przykucki,0,0,0,0,0.115303986,0.5089355
DC @ RAL,Week 1,RAL,DC,2024-04-07 21:17:02,15,01 Lindsay Soo,1,0,0,0,0.7023061,0.85470086
DC @ RAL,Week 1,RAL,DC,2024-04-07 21:19:58,15,14 Sarah Spall,0,0,0,0,0.7484277,0.72804976
DC @ RAL,Week 1,RAL,DC,2024-04-14 18:45:13,16,16 Tania Proksch,0,0,0,0,0.2683438,0.5928516
DC @ RAL,Week 1,RAL,DC,2024-04-14 18:55:31,20,02 Claire Bidigaire-Curtis,0,0,0,0,0.062893085,0.67132866
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 13:01:23,1,24 Abby Swensen,0,0,0,0,0.106944405,0.46666664
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 13:03:12,1,04 Rachel Mast,0,0,0,0,0.6930555,0.3030864
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 13:44:51,11,16 Riely Kuznicki,0,0,0,0,0.60833335,0.56419754
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 14:07:18,14,16 Riely Kuznicki,1,0,0,0,0.4055556,0.88024694
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 14:11:01,15,66 Mya Hernandez,0,0,0,0,0.13611107,0.595679
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 19:19:37,20,18 Laura Gerencser,1,0,0,0,0.16666667,0.9006173
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 19:21:00,20,34 Lauren Kitten,0,0,0,0,0.6458333,0.23641975
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 22:17:51,23,16 Riely Kuznicki,0,0,0,0,0.82916665,0.51790124
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 22:18:50,23,33 Jalyn Baumgartner,0,0,0,0,0.72638893,0.82469136
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 22:24:52,25,59 Maple Adkins-Threats,0,0,0,0,0.5708333,0.45679012
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 22:29:50,26,20 Shirley Saunders,0,0,0,0,0.2375,0.77037036
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 22:34:37,28,23 Lili Hobday,0,0,0,0,0.6333333,0.56790125
NASH @ INDY,Week 1,INDY,NASH,2024-04-07 22:36:49,28,14 Briana Burriss,0,0,0,0,0.25,0.45679012
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:16:35,6,11 Jamie Ferrie,0,0,0,0,0.5847222,0.39382714
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:24:36,8,22 Rebecca Henley,0,0,0,0,0.20138887,0.4419753
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:29:58,10,10 Tori Taylor,0,0,0,0,0.19027774,0.32716048
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:35:42,11,08 Grace Robinson,0,0,0,0,0.6402778,0.44753087
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:36:50,11,10 Tori Taylor,0,0,0,0,0.23888893,0.54691356
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:53:45,15,21 Elena Rubino,0,0,0,0,0.041666668,0.7074074
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:58:25,16,82 Mary Turner,0,0,0,0,0.22361107,0.6111111
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 15:43:38,20,25 Nadine Rowen,0,0,0,0,0.24305554,0.32407406
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 16:02:10,23,10 Tori Taylor,0,0,0,0,0.725,0.4617284
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 16:03:26,23,22 Rebecca Henley,0,0,0,0,0.725,0.47777775
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 16:22:22,28,10 Tori Taylor,0,0,0,0,0.079166666,0.62222224
MKE @ NY,Week 2,MKE,NY,2024-04-13 17:33:51,1,22 Alex Ballinger,0,0,0,0,0.49166667,0.47222224
MKE @ NY,Week 2,MKE,NY,2024-04-13 17:39:28,1,12 Sydney French,0,0,0,0,0.20694447,0.6364198
MKE @ NY,Week 2,MKE,NY,2024-04-13 17:46:46,2,72 Jacqueline Jarik,0,0,0,0,0.2819444,0.7339506
MKE @ NY,Week 2,MKE,NY,2024-04-13 18:21:33,9,72 Jacqueline Jarik,0,0,0,0,0.15138893,0.6598765
MKE @ NY,Week 2,MKE,NY,2024-04-13 18:22:39,9,52 Erynn Schroeder,1,0,0,0,0.07083333,0.85123456
MKE @ NY,Week 2,MKE,NY,2024-04-13 18:32:32,10,05 Rose Glinka,0,0,0,0,0.15,0.5703704
MKE @ NY,Week 2,MKE,NY,2024-04-13 18:33:02,10,17 Caitlin Duffner,0,0,0,0,0.22638887,0.595679
MKE @ NY,Week 2,MKE,NY,2024-04-13 18:51:48,15,10 Chelsea Twohig,0,0,0,0,0.63611114,0.7166667
MKE @ NY,Week 2,MKE,NY,2024-04-13 18:53:02,15,22 Alex Ballinger,0,0,0,0,0.4777778,0.5277778
MKE @ NY,Week 2,MKE,NY,2024-04-13 19:00:59,17,17 Caitlin Duffner,0,0,0,0,0.6486111,0.8240741
MKE @ NY,Week 2,MKE,NY,2024-04-13 20:16:25,21,21 Annie Shriver,0,0,0,0,0.7055556,0.51481485
MKE @ NY,Week 2,MKE,NY,2024-04-13 20:20:52,22,99 Dana Demmert,1,0,0,0,0.7263889,0.8648148
MKE @ NY,Week 2,MKE,NY,2024-04-13 20:39:28,29,22 Alex Ballinger,0,0,0,0,0.8152778,0.4808642
MKE @ NY,Week 2,MKE,NY,2024-04-13 20:47:45,31,12 Sydney French,1,0,0,0,0.725,0.8660494
MKE @ NY,Week 2,MKE,NY,2024-04-13 20:52:57,33,32 Mickela Heilicher,1,0,0,0,0.6166667,0.89382714
MKE @ NY,Week 2,MKE,NY,2024-04-13 20:58:49,35,99 Dana Demmert,0,0,0,0,0.058333334,0.66358024
MKE @ NY,Week 2,NY,MKE,2024-04-15 18:23:11,1,33 Valeria Cardenas,1,0,0,0,0.2651852,0.91567856
MKE @ NY,Week 2,NY,MKE,2024-04-15 18:49:03,7,00 Genny De Jesus,0,0,0,0,0.47087377,0.49280578
MKE @ NY,Week 2,NY,MKE,2024-04-15 18:54:47,9,33 Valeria Cardenas,0,0,0,0,0.5372168,0.4848921
MKE @ NY,Week 2,NY,MKE,2024-04-15 19:21:56,9,02 Jolene Zheng,0,1,0,0,0.487055,0.08345324
MKE @ NY,Week 2,NY,MKE,2024-04-15 19:23:56,10,11 Emma Berrigan,0,0,0,0,0.58414245,0.2654676
MKE @ NY,Week 2,NY,MKE,2024-04-15 19:26:20,11,26 Mariabelen Restrepo,0,0,0,0,0.43365702,0.7201439
MKE @ NY,Week 2,NY,MKE,2024-04-15 19:32:29,12,31 Eli Presberg,0,0,0,0,0.1278317,0.5618705
MKE @ NY,Week 2,NY,MKE,2024-04-15 19:43:26,16,09 Cassandra Brown,0,0,0,0,0.52427185,0.7215828
MKE @ NY,Week 2,NY,MKE,2024-04-15 19:48:57,18,23 Linnea Soo,0,0,0,0,0.57281554,0.6374101
MKE @ NY,Week 2,NY,MKE,2024-04-15 19:57:34,22,31 Eli Presberg,1,0,0,0,0.5388349,0.89928055
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:00:06,23,33 Valeria Cardenas,0,0,0,0,0.4223301,0.30431655
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:17:54,31,18 Kylie Sterling,0,0,0,0,0.9142395,0.78129494
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:27:04,34,20 Yina Cartagena,0,0,0,0,0.32362455,0.4410072
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:30:03,34,24 Jolie Krebs,0,0,0,0,0.069579266,0.38848922
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:31:38,35,24 Jolie Krebs,1,0,0,0,0.2669903,0.90863305
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:41:16,39,96 Nina Finley,0,1,0,0,0.5469256,0.08633093
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 21:03:37,1,52 Erynn Schroeder,1,0,0,0,0.1222222,0.8919753
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 21:04:20,1,17 Caitlin Duffner,0,0,0,0,0.48333332,0.7845679
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 21:07:29,2,27 Stef Bugasch,0,0,0,0,0.2930556,0.40370372
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 21:10:44,2,52 Erynn Schroeder,0,0,0,0,0.53472227,0.24197531
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 21:29:43,5,21 Annie Shriver,0,0,0,0,0.25972226,0.63024694
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:04:38,11,72 Jacqueline Jarik,0,0,0,0,0.71666664,0.22592591
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:17:56,15,22 Alex Ballinger,0,0,0,0,0.41527775,0.7067901
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:22:20,16,21 Annie Shriver,0,0,0,0,0.6652778,0.4555556
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:27:48,16,22 Alex Ballinger,0,0,0,0,0.26111114,0.7728395
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:38:42,20,22 Alex Ballinger,0,0,0,0,0.3402778,0.50555557
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:40:32,20,97 Eileen Bequette,0,0,0,0,0.31388894,0.27901235
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 08:35:18,1,11 Sara Liang,0,0,0,0,0.9839255,0.19543464
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 08:37:45,1,05 Lindsay McKenna,0,0,0,0,0.74873096,0.25484678
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 08:45:19,2,08 Emma Soiles,1,0,0,0,0.67089677,0.88899314
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:01:40,3,13 Kat Harper,0,0,0,0,0.8536379,0.4043152
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:10:47,5,01 Emily Shields,0,0,0,0,0.30033842,0.32363978
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:14:09,6,00 Emilie Mohler,0,0,0,0,0.3037225,0.5562852
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:14:45,6,11 Sara Liang,0,0,0,0,0.4424704,0.29612258
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:19:18,7,24 Casey Gorman,0,0,0,0,0.61167514,0.3492808
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:20:21,7,04 Raha Mozaffari,0,0,0,0,0.8654822,0.32051283
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:22:06,7,04 Raha Mozaffari,0,0,0,0,0.6996616,0.634459
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:41:34,11,05 Lindsay McKenna,0,0,0,0,0.70812184,0.5963102
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:51:26,13,24 Casey Gorman,0,0,0,0,0.7385787,0.7945591
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 10:03:02,17,66 Jess Brand,0,0,0,0,0.83502537,0.5006254
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 10:04:31,17,11 Sara Liang,0,0,0,0,0.13113368,0.44871795
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 10:05:22,17,04 Raha Mozaffari,0,0,0,0,0.6404399,0.7157599
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 10:25:29,17,11 Sara Liang,0,0,0,0,0.7639594,0.6300813
