match,date,team,opponent,Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",18 Laura Gerencser,11,"1,3,7,9,12,15,16,18,22,24,27",8,3,8,2,10,7,10,8,2,0,1,0,0,0,0,1,0,0,156.57,72.88,15.66,7.29,75.33,-33.93,9.42,-4.24
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",04 Rachel Mast,10,"1,6,7,12,13,16,18,21,27,28",6,4,5,3,16,10,16,15,1,2,2,0,2,1,1,1,0,0,183.07,69.22,13.08,4.94,218.45,135.33,14.56,9.02
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",34 Lauren Kitten,9,"3,6,7,12,13,17,21,24,28",7,2,6,2,13,10,13,9,4,0,1,0,3,2,1,1,0,0,124.11,52.70,11.28,4.79,94.76,-11.58,10.53,-1.29
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",29 Emily Schloneger,9,"3,6,9,12,15,17,21,24,28",8,1,7,1,6,5,6,6,0,1,2,0,0,0,0,0,0,0,99.51,85.75,16.58,14.29,95.28,74.44,15.88,12.41
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",21 Elizabeth Burkhardt,8,"4,8,10,14,19,25,26,29",1,7,0,1,3,3,3,1,2,0,0,0,1,1,0,0,0,0,20.19,-4.61,10.09,-2.30,8.85,-2.98,8.85,-2.98
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",06 Risa Umeno,8,"2,5,8,11,20,23,25,29",1,7,0,0,13,8,13,7,6,0,0,0,3,3,0,0,0,0,122.24,12.94,12.22,1.29,75.83,-6.71,10.83,-0.96
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",03 Mary Timmons,8,"2,5,8,11,20,23,25,29",1,7,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,21.26,-2.78,10.63,-1.39,36.25,30.14,12.08,10.05
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",42 Kelly Kerker,8,"2,5,8,11,20,23,25,29",1,7,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10.32,1.35,10.32,1.35,12.42,11.18,12.42,11.18
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",33 Jalyn Baumgartner,8,"2,5,8,11,20,23,25,29",1,7,0,0,3,1,3,3,0,0,0,0,2,1,1,1,0,0,20.54,-1.29,10.27,-0.64,34.65,14.56,11.55,4.85
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",59 Maple Adkins-Threats,8,"4,8,10,14,19,25,26,29",1,7,0,1,3,3,3,2,1,0,1,0,1,1,0,1,0,0,42.01,23.30,21.01,11.65,21.05,13.14,10.53,6.57
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",16 Riely Kuznicki,7,"4,5,10,11,14,23,26",1,6,0,1,2,2,2,2,0,0,0,0,1,1,0,3,0,0,8.85,-2.98,8.85,-2.98,19.96,17.81,9.98,8.91
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",20 Shirley Saunders,7,"2,4,10,14,19,20,26",2,5,0,1,2,2,2,2,0,0,0,0,1,1,0,1,0,0,13.30,-5.89,13.30,-5.89,24.92,11.04,12.46,5.52
"NASH @ INDY",2024-04-06_17-00-00,INDY,"NASH",23 Lili Hobday,7,"4,10,11,14,19,23,26",1,6,0,1,8,4,8,7,1,1,0,0,2,2,0,1,0,0,61.64,22.89,10.27,3.82,102.62,59.74,14.66,8.53
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,27 Katharine Gilbert,15,"1,2,4,8,10,11,13,15,17,19,20,23,25,26,29",10,5,7,2,49,14,47,38,11,0,1,2,4,4,0,0,0,0,625.85,135.13,14.90,3.22,462.30,95.23,12.17,2.51
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,10 Tori Taylor,14,"2,4,8,10,11,13,15,17,19,20,23,25,26,29",10,4,7,2,28,13,26,27,1,2,3,2,5,5,0,4,0,0,254.06,68.82,12.10,3.28,426.46,223.25,15.79,8.27
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,22 Rebecca Henley,14,"2,4,8,10,11,13,15,17,19,20,23,25,26,29",10,4,7,2,9,6,8,9,0,0,1,1,1,1,0,2,0,0,69.72,-6.91,9.96,-0.99,131.70,104.04,14.63,11.56
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,45 Sylvia Brown,13,"1,5,6,9,12,13,14,16,17,18,24,27,28",5,8,3,1,24,6,23,22,2,1,2,1,2,2,0,0,0,0,294.40,80.20,14.02,3.82,237.91,34.88,10.81,1.59
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,24 Mia Letterie,13,"1,3,5,7,12,13,14,16,18,20,22,24,27",5,8,3,1,19,6,19,15,4,3,0,0,2,2,0,0,0,0,244.82,77.89,14.40,4.58,151.27,-49.38,10.08,-3.29
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,08 Grace Robinson,13,"2,4,8,10,11,13,15,19,20,23,25,26,29",10,3,7,2,23,10,22,22,1,0,2,1,3,3,0,1,0,0,264.70,73.69,13.93,3.88,326.04,98.96,14.82,4.50
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,28 Margie Quinn,13,"2,4,8,10,11,15,17,19,21,23,25,26,29",9,4,7,1,48,12,47,39,9,4,0,1,1,1,0,0,0,0,704.64,205.64,15.32,4.47,400.73,-66.24,10.28,-1.70
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,72 Grace Castro,13,"2,4,8,10,11,13,15,19,20,23,25,26,29",10,3,7,2,12,11,11,12,0,0,1,1,1,1,0,0,0,0,98.70,35.15,9.87,3.52,263.28,186.00,21.94,15.50
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,16 Emily Branson,12,"2,4,8,10,11,15,19,20,23,25,26,29",9,3,7,2,21,9,20,17,4,2,1,1,4,3,1,0,0,0,271.02,118.60,15.94,6.98,331.70,19.24,19.51,1.13
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,06 Micah Roberts,12,"1,3,5,7,12,14,16,17,18,21,24,27",3,9,3,0,3,3,2,3,0,0,0,1,1,1,0,0,0,0,9.58,5.49,9.58,5.49,59.93,50.39,19.98,16.80
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,21 Elena Rubino,10,"1,6,9,12,17,18,21,22,27,28",2,8,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.00,0.00,0.00,0.00,19.77,18.63,19.77,18.63
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,25 Nadine Rowen,8,"3,5,9,12,14,16,22,28",5,3,3,0,11,5,11,10,1,0,0,0,1,1,0,1,0,0,183.27,85.28,18.33,8.53,178.93,81.96,17.89,8.20
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,20 Noel Holmes,8,"1,3,6,7,14,16,22,28",4,4,2,1,12,4,12,10,2,0,1,0,1,1,0,0,0,0,124.55,40.64,11.32,3.69,121.06,37.52,12.11,3.75
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,82 Mary Turner,8,"1,5,7,14,16,22,24,27",4,4,3,0,3,2,3,2,1,0,0,0,0,0,0,1,0,0,27.16,14.36,9.05,4.79,19.59,13.82,9.80,6.91
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,09 Emma Patterson,8,"3,5,7,9,18,21,27,28",2,6,1,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,26.04,2.57,13.02,1.29,19.20,5.42,19.20,5.42
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,11 Jamie Ferrie,7,"3,6,9,18,21,22,27",1,6,0,1,4,3,4,3,1,0,0,0,0,0,0,1,0,0,30.68,-13.21,7.67,-3.30,45.27,31.43,15.09,10.48
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,12 Meaghan Creamer,6,"5,7,14,21,22,24",3,3,2,0,2,2,1,2,0,0,1,1,0,0,0,0,0,0,12.19,12.19,12.19,12.19,26.30,19.03,13.15,9.52
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,02 Sierra Rimmer,5,"6,9,12,21,24",0,5,0,1,8,3,8,6,2,1,0,0,1,1,0,0,0,0,85.42,27.03,12.20,3.86,64.15,-3.59,10.69,-0.60
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,71 Mattea Swegles,4,"6,12,16,28",2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.76,-4.20,9.76,-4.20,58.60,51.00,58.60,51.00
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,19 Bethany Bailey,4,"6,9,18,28",1,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,17.77,-0.95,17.77,-0.95,10.11,5.83,10.11,5.83
"NASH @ INDY",2024-04-06_17-00-00,"NASH",INDY,23 Breanna Snipes,3,"3,7,24",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MKE @ NY,2024-04-13_17-00-00,MKE,NY,52 Erynn Schroeder,22,"3,4,6,8,9,10,11,13,17,19,20,21,24,25,27,29,30,32,33,34,36,37,38",18,4,10,1,56,21,56,36,20,5,2,0,14,13,1,1,0,0,869.14,619.76,20.69,14.76,504.63,56.56,14.02,1.57
MKE @ NY,2024-04-13_17-00-00,MKE,NY,21 Annie Shriver,20,"3,4,6,9,10,11,13,19,20,21,24,25,27,29,30,32,33,34,36,37,38",17,3,9,0,18,11,16,16,2,2,0,2,4,3,1,1,0,0,225.45,82.43,17.34,6.34,258.22,171.43,16.14,10.71
MKE @ NY,2024-04-13_17-00-00,MKE,NY,12 Sydney French,19,"1,2,5,7,8,12,14,15,18,22,23,24,26,28,31,33,35,36,37",4,15,2,6,16,9,14,13,3,1,1,2,6,4,2,2,0,0,142.09,85.55,15.79,9.51,260.60,161.61,20.05,12.43
MKE @ NY,2024-04-13_17-00-00,MKE,NY,72 Jacqueline Jarik,18,"1,2,7,8,12,14,15,16,17,18,22,23,24,26,28,31,33,35",3,15,2,6,18,8,17,15,3,4,0,1,2,1,1,2,0,0,300.09,192.97,20.01,12.86,240.29,155.04,16.02,10.34
MKE @ NY,2024-04-13_17-00-00,MKE,NY,22 Alex Ballinger,17,"1,2,5,7,8,14,15,16,18,22,23,26,28,29,31,34,37",5,12,3,6,20,12,20,13,7,0,4,0,3,2,1,3,0,0,249.81,98.15,14.69,5.77,178.92,106.07,13.76,8.16
MKE @ NY,2024-04-13_17-00-00,MKE,NY,05 Rose Glinka,16,"3,6,10,11,13,17,19,20,21,25,27,29,30,32,33,34,38",15,1,9,0,18,11,17,13,5,1,2,1,2,2,0,1,0,0,208.91,131.94,14.92,9.42,219.91,71.93,16.92,5.53
MKE @ NY,2024-04-13_17-00-00,MKE,NY,17 Caitlin Duffner,17,"3,4,6,9,10,11,13,17,19,20,21,24,25,27,29,30,32",16,1,8,0,15,6,12,14,1,0,2,3,1,0,1,2,0,0,168.64,20.39,14.05,1.70,327.45,187.49,23.39,13.39
MKE @ NY,2024-04-13_17-00-00,MKE,NY,13 Erin Newman,15,"4,6,9,11,13,17,19,20,21,25,27,29,30,32,34,38",15,0,9,0,2,2,1,2,0,0,0,1,0,0,0,0,0,0,13.76,10.09,13.76,10.09,59.03,50.19,29.52,25.10
MKE @ NY,2024-04-13_17-00-00,MKE,NY,10 Chelsea Twohig,15,"2,5,7,8,14,15,18,23,24,28,30,33,35,36,37",4,11,2,4,8,5,7,5,3,1,0,1,0,0,0,1,0,0,130.90,114.47,18.70,16.35,113.89,100.52,22.78,20.10
MKE @ NY,2024-04-13_17-00-00,MKE,NY,32 Mickela Heilicher,15,"1,2,5,7,12,14,15,16,18,22,23,26,28,31,35",3,12,1,5,16,10,16,9,7,0,0,0,3,3,0,1,0,0,197.10,112.71,17.92,10.25,132.06,49.65,14.67,5.52
MKE @ NY,2024-04-13_17-00-00,MKE,NY,99 Dana Demmert,13,"1,5,8,12,15,16,18,22,26,31,33,35,36,38",3,10,1,4,2,2,1,1,1,0,0,1,0,0,0,2,0,0,13.22,9.28,13.22,9.28,17.21,16.53,17.21,16.53
MKE @ NY,2024-04-13_17-00-00,MKE,NY,08 Manhua Zhu,12,"3,6,9,11,17,19,20,25,27,30,32,34,38",12,0,7,0,17,11,17,12,5,2,0,0,1,1,0,0,0,0,266.41,107.56,17.76,7.17,163.27,59.06,13.61,4.92
MKE @ NY,2024-04-13_17-00-00,MKE,NY,97 Eileen Bequette,13,"1,5,8,12,14,16,22,24,28,31,35,36,37",4,9,2,3,3,3,1,3,0,1,0,2,0,0,0,0,0,0,17.21,16.53,17.21,16.53,120.98,118.40,40.33,39.47
MKE @ NY,2024-04-13_17-00-00,MKE,NY,27 Stef Bugasch,11,"4,10,17,19,20,21,25,27,29,32,34,38",11,0,7,0,7,5,6,6,1,0,1,1,1,1,0,0,0,0,72.47,-4.20,14.49,-0.84,98.77,56.42,16.46,9.40
MKE @ NY,2024-04-13_17-00-00,MKE,NY,07 Sydney Stelzer,11,"2,7,12,15,18,23,26,31,35,36,37",2,9,1,3,2,2,1,2,0,0,0,1,1,0,1,0,0,0,12.94,12.94,12.94,12.94,49.24,49.17,24.62,24.59
MKE @ NY,2024-04-13_17-00-00,MKE,NY,00 Donna Johnston,10,"1,2,7,12,14,16,22,23,26,28",1,9,1,4,9,5,9,9,0,0,1,0,3,1,2,0,0,0,87.31,2.17,10.91,0.27,108.95,22.69,12.11,2.52
MKE @ NY,2024-04-13_17-00-00,MKE,NY,19 Emily Cohen,8,"3,4,6,9,10,11,13,16",7,1,2,0,6,6,6,6,0,0,1,0,1,1,0,0,0,0,66.93,1.83,13.39,0.37,126.69,108.10,21.11,18.02
MKE @ NY,2024-04-13_17-00-00,MKE,NY,88 Claire Kelley,6,"3,4,9,10,13,21",6,0,1,0,3,3,2,3,0,0,0,1,1,1,0,0,0,0,11.42,-8.60,11.42,-8.60,73.72,65.09,24.57,21.70
MKE @ NY,2024-04-13_17-00-00,NY,MKE,33 Valeria Cardenas,27,"1,2,4,6,7,8,9,11,13,14,15,16,17,19,20,21,23,25,26,27,29,30,32,34,36,37,38",16,11,11,6,66,23,63,52,14,3,4,3,8,6,2,3,0,0,880.98,384.28,15.46,6.74,711.45,215.80,13.68,4.15
MKE @ NY,2024-04-13_17-00-00,NY,MKE,00 Genny De Jesus,22,"1,2,5,7,8,10,11,13,14,16,17,19,23,24,25,27,29,31,33,34,36,38",16,6,10,5,19,14,15,19,0,0,2,4,2,1,1,1,0,0,161.40,-10.18,11.53,-0.73,380.91,226.54,20.05,11.92
MKE @ NY,2024-04-13_17-00-00,NY,MKE,20 Yina Cartagena,21,"1,2,5,7,8,9,11,13,14,16,17,19,21,23,24,27,29,31,34,36,38",16,5,10,5,69,21,68,55,14,8,3,1,5,4,1,1,0,0,"1,013.93",622.11,16.35,10.03,770.14,118.49,14.00,2.15
MKE @ NY,2024-04-13_17-00-00,NY,MKE,96 Nina Finley,21,"3,4,6,8,10,12,14,15,18,20,22,24,28,30,31,32,33,34,35,37,39",3,18,1,8,24,14,24,15,9,2,1,1,4,3,1,1,0,0,373.34,170.67,17.78,8.13,211.20,16.10,14.08,1.07
MKE @ NY,2024-04-13_17-00-00,NY,MKE,24 Jolie Krebs,18,"2,4,6,14,15,20,21,22,25,26,28,30,31,32,34,35,37,39",3,15,3,7,28,12,27,22,6,3,1,1,2,2,0,2,0,0,380.68,226.92,15.23,9.08,269.06,19.63,12.23,0.89
MKE @ NY,2024-04-13_17-00-00,NY,MKE,23 Linnea Soo,17,"1,7,9,11,13,14,16,18,19,23,24,25,27,29,34,36,38",14,3,9,2,12,10,11,11,1,0,0,1,2,1,1,1,0,0,127.28,6.16,14.14,0.68,178.32,124.33,16.21,11.30
MKE @ NY,2024-04-13_17-00-00,NY,MKE,02 Jolene Zheng,16,"1,2,7,9,11,12,13,16,17,19,23,24,27,29,36,38",14,2,9,1,7,6,6,7,0,0,1,2,2,1,1,1,0,0,63.65,-17.92,15.91,-4.48,111.17,98.90,15.88,14.13
MKE @ NY,2024-04-13_17-00-00,NY,MKE,09 Cassandra Brown,15,"1,2,7,9,11,13,16,17,19,23,24,27,29,36,38",14,1,9,1,21,12,20,14,7,1,0,1,4,4,0,1,0,0,224.36,132.99,14.02,8.31,189.99,109.89,13.57,7.85
MKE @ NY,2024-04-13_17-00-00,NY,MKE,97 Hannah Glick,15,"1,7,9,11,13,14,16,17,19,23,25,26,27,36,38",12,3,8,2,7,5,7,7,0,1,1,0,0,0,0,0,0,0,99.71,-23.76,14.24,-3.39,107.08,73.18,15.30,10.45
MKE @ NY,2024-04-13_17-00-00,NY,MKE,11 Emma Berrigan,15,"2,3,5,9,10,12,18,22,24,28,31,33,34,35,39",4,11,3,5,3,3,2,2,1,0,0,1,0,0,0,1,0,0,23.92,-21.95,11.96,-10.97,33.23,30.55,16.61,15.28
MKE @ NY,2024-04-13_17-00-00,NY,MKE,88 Nikki Hair,13,"3,5,10,12,17,18,22,25,28,30,33,35,39",2,11,2,4,4,4,3,4,0,0,1,1,1,0,1,0,0,0,37.20,9.16,12.40,3.05,87.60,66.39,21.90,16.60
MKE @ NY,2024-04-13_17-00-00,NY,MKE,62 Casey Banta-Ryan,12,"3,4,6,8,15,20,21,25,26,29,32,37",3,9,2,5,4,4,3,4,0,0,1,1,0,0,0,0,0,0,37.43,7.42,12.48,2.47,65.60,55.97,16.40,13.99
MKE @ NY,2024-04-13_17-00-00,NY,MKE,31 Eli Presberg,11,"5,8,10,12,18,22,28,31,33,35,39",1,10,0,4,12,8,11,12,0,0,1,1,2,2,0,2,0,0,130.01,-12.08,14.45,-1.34,200.02,89.36,16.67,7.45
MKE @ NY,2024-04-13_17-00-00,NY,MKE,18 Kylie Sterling,11,"4,6,8,15,20,21,26,30,31,32,37",1,10,0,5,8,6,8,8,0,1,0,0,4,4,0,1,0,0,61.79,18.24,20.60,6.08,124.43,78.07,15.55,9.76
MKE @ NY,2024-04-13_17-00-00,NY,MKE,05 Emily Wang,10,"3,5,10,12,18,22,28,33,35,39",0,10,0,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,58.06,22.10,14.51,5.53,59.36,-23.05,14.84,-5.76
MKE @ NY,2024-04-13_17-00-00,NY,MKE,26 Mariabelen Restrepo,10,"3,4,6,15,20,21,26,30,32,37",0,10,0,5,10,6,9,7,3,0,0,1,1,1,0,1,0,0,82.08,2.92,11.73,0.42,129.05,94.10,18.44,13.44
MKE @ NY,2024-04-13_17-00-00,NY,MKE,65 Anna Lieberman,10,"3,5,10,12,18,22,28,33,35,39",0,10,0,4,3,3,3,3,0,1,0,0,1,1,0,0,0,0,30.85,23.37,15.43,11.68,45.53,27.39,15.18,9.13
MKE @ NY,2024-04-13_17-00-00,NY,MKE,44 Kayla Seeger,9,"4,6,15,20,21,26,30,32,37",0,9,0,4,5,3,3,5,0,0,0,2,1,0,1,0,0,0,47.75,20.52,15.92,6.84,125.77,91.97,25.15,18.39
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,72 Jacqueline Jarik,14,"2,3,4,6,8,9,10,11,12,13,15,17,19,20,21",10,4,3,0,9,6,8,9,0,0,0,1,4,3,1,1,0,0,51.11,20.66,12.78,5.16,138.33,69.63,15.37,7.74
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,99 Dana Demmert,12,"2,3,4,6,8,9,12,13,15,16,19,20",8,4,3,1,10,6,10,10,0,1,0,0,3,1,2,0,0,0,113.15,26.48,14.14,3.31,141.76,103.90,14.18,10.39
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,21 Annie Shriver,11,"1,3,5,7,10,11,14,15,17,18,19,21",10,1,1,0,11,9,11,8,3,0,0,0,3,3,0,2,0,0,112.02,40.10,16.00,5.73,101.24,33.60,12.66,4.20
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,52 Erynn Schroeder,11,"1,2,5,7,10,11,14,15,17,18,19,21",10,1,1,0,37,12,37,17,20,0,0,0,12,11,1,2,0,0,343.01,155.92,14.29,6.50,220.00,11.11,12.94,0.65
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,22 Alex Ballinger,11,"2,3,6,8,9,12,13,15,16,19,20",7,4,3,1,18,7,18,12,6,0,1,0,1,1,0,3,0,0,200.30,60.35,12.52,3.77,145.34,36.44,12.11,3.04
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,12 Sydney French,11,"2,3,4,6,8,9,12,13,16,19,20",7,4,3,1,14,4,13,11,3,0,0,1,5,5,0,0,0,0,89.34,55.95,17.87,11.19,159.31,84.80,14.48,7.71
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,10 Chelsea Twohig,10,"2,3,4,8,9,12,13,16,19,20",6,4,3,1,15,7,14,9,6,3,0,1,2,1,1,0,0,0,257.69,187.01,19.82,14.39,140.15,38.07,15.57,4.23
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,17 Caitlin Duffner,9,"1,2,5,7,10,11,14,15,17",8,1,0,0,6,5,6,6,0,0,0,0,2,0,2,1,0,0,82.83,18.49,13.80,3.08,97.63,33.73,16.27,5.62
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,97 Eileen Bequette,8,"4,6,8,9,12,13,16,20",4,4,2,1,5,4,4,4,1,0,1,1,3,2,1,1,0,0,27.16,-10.91,13.58,-5.45,128.88,126.86,32.22,31.72
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,05 Rose Glinka,7,"1,5,7,10,11,14,18,21",7,0,0,0,9,5,9,8,1,0,0,0,3,1,2,0,0,0,105.93,35.22,13.24,4.40,105.13,30.75,13.14,3.84
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,08 Manhua Zhu,6,"1,5,10,11,15,17,21",5,1,0,0,14,6,14,9,5,0,0,0,5,5,0,0,0,0,91.98,30.34,13.14,4.33,121.63,38.27,13.51,4.25
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,32 Mickela Heilicher,6,"4,6,8,9,12,16",4,2,2,1,14,5,14,5,9,0,2,0,3,2,1,0,0,0,161.54,119.41,14.69,10.86,48.33,21.34,9.67,4.27
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,13 Erin Newman,6,"1,3,7,10,14,18",6,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,19.72,-12.26,19.72,-12.26,23.30,18.56,11.65,9.28
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,07 Sydney Stelzer,6,"5,7,11,14,17,18",5,1,0,0,1,1,1,1,0,0,0,0,3,0,3,0,0,0,15.72,-9.75,15.72,-9.75,22.91,5.01,22.91,5.01
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,00 Donna Johnston,5,"4,6,13,16,20",2,3,0,1,3,3,3,3,0,0,0,0,2,1,1,0,0,0,19.68,9.48,9.84,4.74,42.25,5.15,14.08,1.72
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,88 Claire Kelley,4,"1,5,14,18,21",4,0,0,0,4,4,4,4,0,0,0,0,1,1,0,0,0,0,42.96,2.71,14.32,0.90,71.86,44.84,17.96,11.21
MKE @ PHL,2024-04-14_16-45-00,MKE,PHL,27 Stef Bugasch,3,"7,17,18,21",2,1,0,0,4,4,4,3,1,0,0,0,0,0,0,1,0,0,33.12,-2.91,11.04,-0.97,59.21,24.25,19.74,8.08
MKE @ PHL,2024-04-14_16-45-00,PHL,MKE,11 Sara Liang,14,"1,3,4,6,8,9,11,12,14,16,17,20,22,24",1,13,1,8,24,9,24,9,15,2,0,0,3,2,1,4,0,0,237.74,134.21,11.89,6.71,79.64,20.83,8.85,2.31
MKE @ PHL,2024-04-14_16-45-00,PHL,MKE,08 Emma Soiles,13,"1,3,6,8,9,11,12,14,17,18,20,22,24",1,12,1,7,13,9,9,13,0,1,1,4,3,2,1,1,0,0,74.74,41.03,12.46,6.84,164.91,128.27,12.69,9.87
MKE @ PHL,2024-04-14_16-45-00,PHL,MKE,04 Raha Mozaffari,12,"1,3,6,7,9,11,12,13,16,20,21,22",1,11,1,8,33,11,33,14,19,3,3,0,5,5,0,3,0,0,339.24,169.42,14.75,7.37,113.92,-34.15,8.14,-2.44
MKE @ PHL,2024-04-14_16-45-00,PHL,MKE,18 Sumi Onoe,11,"1,3,6,8,9,11,12,16,18,20,24",1,10,1,7,8,6,6,8,0,0,0,2,3,0,3,0,0,0,51.86,5.00,8.64,0.83,138.17,89.24,17.27,11.16
