Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-04-07 13:01:23,1,24 Abby Swensen,0,0,0,0,0.106944405,0.46666664
2024-04-07 13:03:12,1,04 Rachel Mast,0,0,0,0,0.6930555,0.3030864
2024-04-07 13:44:51,11,16 Riely Kuznicki,0,0,0,0,0.60833335,0.56419754
2024-04-07 14:07:18,14,16 Riely Kuznicki,1,0,0,0,0.4055556,0.88024694
2024-04-07 14:11:01,15,66 Mya Hernandez,0,0,0,0,0.13611107,0.595679
2024-04-07 19:19:37,20,18 Laura Gerencser,1,0,0,0,0.16666667,0.9006173
2024-04-07 19:21:00,20,34 Lauren Kitten,0,0,0,0,0.6458333,0.23641975
2024-04-07 22:17:51,23,16 Riely Kuznicki,0,0,0,0,0.82916665,0.51790124
2024-04-07 22:18:50,23,33 Jalyn Baumgartner,0,0,0,0,0.72638893,0.82469136
2024-04-07 22:24:52,25,59 Maple Adkins-Threats,0,0,0,0,0.5708333,0.45679012
2024-04-07 22:29:50,26,20 Shirley Saunders,0,0,0,0,0.2375,0.77037036
2024-04-07 22:34:37,28,23 Lili Hobday,0,0,0,0,0.6333333,0.56790125
2024-04-07 22:36:49,28,14 Briana Burriss,0,0,0,0,0.25,0.45679012