team,Player,Touches,Throws,Catches,Defensive blocks,Goals,Turnovers,Total completed throw gain (yd),Average completed throw gain (yd),Total caught pass gain (yd),Average caught pass gain (yd),Offense points played,Defense points played,Possessions initiated,Thrower errors,Receiver errors,Assists,Secondary assists
INDY,21 Elizabeth Burkhardt,6,6,3,0,0,1,-6.815620000000001,-1.70275140435,-13.42338,-4.475722220733334,1,16,3,1,0,0,0
DC,21 Jess Oh,88,85,74,3,3,4,583.1020000000001,7.110914193177318,157.08746000000002,2.122872480604054,6,42,14,2,2,6,8
PHL,21 Linda Morse,50,45,49,3,5,9,310.43344,8.16879448629579,661.88094,13.507683276077552,14,40,1,6,3,9,2
NY,21 Montana Roberts,15,14,15,1,1,2,105.34126,8.777806712433334,163.68428000000003,10.912948457786667,23,15,0,2,0,4,1
ATL,21 Samantha Li,49,47,43,0,2,3,180.60846,4.300405394973334,169.92008,3.951597501311163,34,2,6,2,1,0,1
MINN,21 Sarah Mondschein,27,24,23,3,3,10,157.68916000000002,8.299229640189475,331.88678000000004,14.430220498685218,16,45,4,5,5,4,2
MKE,22 Alex Ballinger,99,99,75,8,0,11,419.58182,4.936173031099295,319.68868000000003,4.262535068105867,31,55,24,10,1,4,12
INDY,22 Emily Wycoff,16,16,15,2,0,3,76.35026,5.872504522076923,128.11834000000002,8.542040173482668,9,38,1,3,0,0,0
DC,22 Erin McCann,35,33,32,9,2,1,114.26830000000001,3.808754213188667,295.13932,9.223167371570002,8,36,3,0,1,2,2
RAL,22 Julia Zwierzynski,7,5,7,2,2,2,55.104780000000005,13.7754689669,147.95256,21.13623958334286,6,15,0,1,1,1,0
PHL,22 Liz Hart,53,49,53,2,4,5,399.13496000000004,8.676762275213914,444.79852,8.392371956989246,36,9,0,2,3,6,2
NASH,22 Rebecca Henley,64,56,62,5,8,2,93.90896000000001,1.7389706868225927,742.6619000000001,11.978315684087098,52,12,2,2,0,2,2
ATX,22 Sydney Loughran,25,20,24,1,4,4,4.364298575999996,0.2730746623724997,225.56092,9.398120490648335,15,11,1,3,1,0,0
MKE,23 Allie Mueting,5,4,5,1,1,0,3.8946400000000017,0.9710387760000002,104.11598000000001,20.822077385,7,24,0,0,0,0,0
NASH,23 Breanna Snipes,7,6,7,1,1,1,-48.015660000000004,-9.603395435200001,73.36364,10.479896259025715,7,10,0,1,0,0,1
PORT,23 Colette Pellegrini,51,46,50,2,5,4,202.51034,4.6022922142454545,529.08028,10.581362049344001,35,5,1,1,3,9,3
INDY,23 Lili Hobday,52,50,44,2,2,4,140.79780000000002,3.0608207104374783,368.10912,8.366381569375909,9,41,8,4,0,2,1
NY,23 Linnea Soo,26,24,25,2,2,5,52.57764,2.6288037587610003,280.78604,11.231652335032,27,7,1,3,2,1,1
DC,23 Lisa Dang,125,125,95,2,0,6,719.7426,6.313472527322457,78.31945999999999,0.8244625307610527,22,18,30,6,0,3,8
PHL,23 Natalie Bova,134,126,120,2,8,4,615.5281600000001,5.129337832705033,381.4012200000001,3.178473283553867,53,11,14,4,0,11,6
RAL,23 Nicole Patterson,0,0,0,0,0,0,0,NA,0,NA,2,4,0,0,0,0,0
INDY,24 Abby Swensen,52,39,51,5,13,4,283.24754,7.868072882422223,780.99566,15.629026062464002,48,15,1,2,2,8,3
MINN,24 Allegra Johnson McKee,1,1,1,0,0,0,13.489020000000002,13.486249992000001,14.67054,14.671851706000002,2,4,0,0,0,1,0
PORT,24 Annika Chan,27,26,15,2,0,3,157.75480000000002,6.859107321451305,-7.77834,-0.5187022605066667,7,17,12,3,0,0,0
PHL,24 Casey Gorman,12,10,11,6,2,6,64.4366,10.740235162400001,111.85056000000002,10.167940380636365,2,37,1,4,2,1,0
RAL,24 Hannah Boettcher,10,10,9,1,0,4,47.38114,6.768959646588572,121.53246,13.503865944666668,2,13,1,3,1,0,2
MKE,24 Heidi Umhoefer,2,2,2,0,0,0,20.91728,10.458797536000002,13.554660000000002,6.776121677000001,6,8,0,0,0,0,0
MKE,24 Heidi Umhoeffer,10,8,9,1,2,0,23.247500000000006,2.783924962411111,161.73696,16.972403629400002,4,11,1,0,0,1,0
DC,24 Jamie Eriksson,37,33,34,4,4,6,330.56304,11.398665020550347,389.32178000000005,11.450669360435295,6,26,3,3,3,5,3
NY,24 Jolie Krebs,111,98,105,4,13,6,649.9344600000001,7.064468573129566,915.79834,8.721947464710476,44,34,6,6,0,7,10
NASH,24 Mia Letterie,95,94,69,3,1,11,558.0494,6.9756437525812505,-136.70624,-1.9812056619118843,33,28,26,11,0,4,3
MKE,25 Anna Wozniak,1,1,1,1,0,0,3.3367,3.3345100308,15.928640000000001,15.931562074,2,12,0,0,0,0,0
ATX,25 Jasmine Anand,0,0,0,0,0,0,0,NA,0,NA,0,2,0,0,0,0,0
RAL,25 Meg Manning,6,6,6,0,0,2,24.144580000000005,4.830016564,61.01238,10.168187594800001,6,14,0,1,1,0,0
NASH,25 Nadine Rowen,21,20,19,4,1,3,101.52320000000002,5.639852906576667,185.91436000000002,9.78456207703158,15,13,2,2,1,2,0
PHL,25 Sabrina Bonaci,1,1,1,0,0,1,0,NA,9.922580000000002,9.920574698000001,1,5,0,0,1,0,0
MKE,25 Woz (Anna Wozniak),5,3,5,1,2,0,-14.495500000000002,-4.833732079733334,112.31004,22.4639789504,2,5,0,0,0,0,1
ATX,26 Amy Broome,48,47,30,1,1,4,263.18358,6.266535081629049,45.7839,1.5262047446326668,14,14,18,3,1,2,0
DC,26 Jessica Sourbeer,74,74,52,2,0,6,472.60800000000006,7.384554529404375,24.604060000000004,0.4731014371288462,8,28,22,6,0,4,5
NASH,26 Leah Shorb,3,3,3,0,0,0,32.677780000000006,10.892741924060001,46.910720000000005,15.635153714000001,1,10,0,0,0,1,0
NY,26 Mariabelen Restrepo,28,26,25,2,2,4,67.51074,3.2149713805904763,307.66562,12.306134833720801,5,49,3,4,0,3,0
ATL,26 Morgan Lally,81,77,79,4,5,3,248.14108000000002,3.308360274901734,726.4269400000001,9.252809591206502,25,42,2,2,1,6,9
ATX,27 Jocelyn Jessop,30,28,29,1,2,3,156.62798,6.024374892576154,108.51386000000001,3.7416092602496556,9,15,1,2,1,0,1
NASH,27 Katharine Gilbert,202,199,159,1,3,20,525.84204,3.0048096070493715,615.69226,3.872316359055849,56,15,43,19,1,2,6
RAL,27 Mary Rippe,24,21,23,1,3,3,102.0702,5.371936269831579,235.47256000000004,10.237974525469566,12,2,1,2,1,1,3
MKE,27 Stef Bugasch,26,24,20,2,2,2,34.52664000000001,1.726234109974,133.34766000000002,6.667556886924,25,2,6,2,0,0,1
MKE,27 Steph Bugasch,15,14,14,0,1,3,55.58614000000001,5.053077047545455,113.22900000000001,8.087855222357144,12,0,1,3,0,1,1
ATL,27 Therese Doebler,31,30,31,2,1,3,29.43954,1.090325829362963,256.09446,8.261143657927743,21,23,0,3,0,2,1
RAL,28 Claire Revere,12,11,11,0,1,1,21.168900000000004,2.1165961187800004,52.107220000000005,4.737034649654546,5,3,1,1,0,0,0
MINN,28 Emma Peaslee,27,22,27,3,5,1,8.445680000000005,0.4022586581999999,272.98582000000005,10.110569137888149,31,6,0,1,0,0,2
NASH,28 Margie Quinn,114,112,90,1,2,5,800.2172400000001,7.478586717516449,-181.53836,-2.0171738733328892,22,8,24,5,0,8,5
ATL,29 Charlotte Doran,83,82,59,3,0,7,511.45695380980004,7.006206538020549,44.78836,0.7590735762305085,24,9,24,7,0,1,4
PORT,29 Elana Schwam,10,10,9,1,0,2,27.262480000000004,3.029878550513334,95.22176000000002,10.579869482777779,13,0,1,1,1,0,2
INDY,29 Emily Schloneger,55,53,54,1,2,5,180.41154,3.7585064154395837,511.83884000000006,9.478653850794444,54,12,1,4,1,2,8
PORT,30 Jean Huang,51,48,38,1,3,4,348.85472000000004,8.306286288569524,47.50148,1.2499547168536842,13,9,13,4,0,0,1
NY,31 Eli Presberg,96,90,80,5,6,6,348.30470493600006,4.196362057583856,353.21978,4.4152056011465,16,49,16,4,2,3,7
ATL,31 Evelina Pierce,2,2,2,0,0,0,11.4323,5.718063406000001,43.74906000000001,21.876202726000002,4,1,0,0,0,1,0
ATL,31 María Vargas,85,81,59,3,1,5,434.1222941212,5.788401499437867,233.3725822554,3.9005792416708336,23,11,23,5,0,3,2
ATX,31 Nikki Gilbert,43,39,42,2,4,3,125.61308,3.3949110430924323,374.08236000000005,8.90668803772762,23,10,1,2,1,4,3
RAL,32 Annie Bocko,18,18,9,0,0,2,81.07634000000002,4.768842503670588,-13.64218,-1.5156261778000002,16,1,9,1,1,0,0
MKE,32 Mak (Mickela Heilicher),5,5,2,0,0,1,13.8938,4.633515711866667,-1.71758,-0.8580597549999993,1,8,3,1,0,0,0
PORT,32 Megan Wilson,21,20,20,1,1,5,177.31552000000002,11.082406356062501,215.2992,10.76496972019,2,29,1,4,1,4,2
MKE,32 Mickela Heilicher,38,37,19,1,1,8,269.9445,9.640779439100001,129.12482,6.795923671790527,12,17,19,6,2,0,4
INDY,32 Shani Rosenthal,40,34,40,0,6,6,220.03622000000001,7.8580927641,546.9015400000001,13.672331891918901,32,9,0,6,0,6,1
DC,33 Amanda Murphy,37,33,27,2,4,3,232.97824,8.3204017414350009,183.32158,6.789779347634815,6,11,10,3,0,2,2
RAL,33 Erica Birdsong,17,16,16,1,1,4,18.007240000000003,1.5005799873733336,162.60122,10.1628634591875,6,11,1,4,0,2,0
INDY,33 Jalyn Baumgartner,10,9,10,1,1,3,-9.145840000000002,-1.1436947722249997,113.40404000000001,11.34018993702,6,33,0,1,2,0,1
PHL,33 Jana Graham,12,7,12,3,5,6,0.4594800000000001,0.09382774143999964,158.79410000000001,13.233235734583335,5,47,0,2,4,0,1
MINN,33 Julia Hill,14,13,13,1,1,3,22.219140000000003,2.2230075077,80.62780000000001,6.201622326644616,1,24,1,3,0,1,0
NY,33 Valeria Cardenas,234,226,182,6,8,19,1750.38906,8.415325986031155,727.87102,3.9993398815817587,57,42,52,16,3,14,15
PORT,33 Yuge Xiao,104,98,97,6,5,9,655.1637800000001,7.530702695808507,735.74782,7.5849238553051554,39,9,7,7,2,10,2
RAL,34 Alex Barnett,47,47,34,0,0,5,206.68942,4.921263751046286,-49.25188000000001,-1.4484751475741178,11,0,13,5,0,0,0
INDY,34 Lauren Kitten,83,80,61,3,2,15,452.9707,6.970743974326667,101.77482,1.6684384791331148,23,37,22,14,1,4,5
PHL,36 Adi Malave,4,4,3,0,0,1,21.02668,10.511222563000002,27.973580000000005,9.3242401116,0,8,1,1,0,0,0
PHL,36 Adilina Malave,4,4,4,0,0,4,-6.017,-6.020760078,4.31036,1.0775787865,1,5,0,3,1,0,0
DC,36 Carolyn Normile,74,71,54,4,3,5,264.55108,4.19901508020127,315.66276000000005,5.84568689616963,18,15,20,5,0,2,3
PORT,36 Jaelee Cruz,100,94,97,3,6,14,438.96750000000003,5.353291988077317,631.68654,6.512291551120413,38,6,3,9,5,4,8
DC,37 Claire Trop,58,52,54,3,6,8,241.42392,5.486787520006364,562.0425,10.408343155511112,14,17,4,5,3,6,4
PORT,37 Hannah Henkin,57,57,41,1,0,4,435.90430000000003,8.382839155946924,-3.48986,-0.08498071926829268,5,31,16,4,0,2,1
INDY,40 Claire Milton,81,70,80,1,11,8,713.81312,11.153423688450626,934.9324,11.686597959851952,56,14,1,6,2,11,6
INDY,42 Kelly Kerker,14,13,14,0,1,2,-4.890180000000001,-0.4073593785,170.46708,12.175704343100001,7,34,0,1,1,0,0
DC,42 Lisi Lohre,27,26,25,1,1,4,178.36576000000002,8.107242009854547,199.40338000000003,7.976152982313601,6,16,2,3,1,3,2
ATL,42 Martha Wilber,78,73,61,3,3,12,383.96118,6.294404766673771,436.2022160014001,7.150753780608525,26,12,15,12,0,5,3
ATX,42 Meg Duffy,34,33,25,0,1,7,183.63884000000002,6.558510874535715,36.56148,1.4624211756232,18,9,9,5,2,2,3
RAL,44 Chloe Greene,32,32,27,0,0,3,61.285880000000006,2.2699185909485187,14.68148,0.5435838877555557,6,1,5,3,0,0,0
ATL,44 Jordan Harn,43,42,41,2,1,7,99.82750000000001,2.7729533807583335,205.17970000000003,5.004541710256098,14,25,2,6,1,0,2
NY,44 Kayla Seeger,9,6,9,0,3,2,64.36002,12.873206109080002,171.79082,19.08694353506667,0,18,0,1,1,1,0
MINN,44 Sarah Meckstroth,52,42,52,1,9,15,206.06584000000004,7.10595986504276,673.7946000000001,12.957570832570001,28,6,0,10,5,6,1
RAL,45 Caitlin Gross,48,45,42,2,3,7,190.5201,4.8851047533497445,207.19266000000002,4.932908674739048,25,3,6,6,1,3,0
MINN,45 Emery Otapalik,17,15,17,0,2,3,121.14956000000001,10.096160485483335,248.89594000000002,14.64134121722353,12,22,0,3,0,3,1
MINN,45 Emery Otopalik,3,1,3,0,2,4,0,NA,63.802080000000004,21.26677507466667,5,1,0,1,3,0,0
ATL,45 Jennifer Lin,14,13,14,0,1,1,29.811500000000002,2.48397581428,102.84694000000002,7.346524546098572,10,4,0,1,0,0,0
PORT,45 Sarah Jeung,34,31,31,4,3,4,297.52424,11.443210958507693,289.0348,9.323502543858066,10,21,3,4,0,2,1
NASH,45 Sylvia Brown,132,129,110,4,3,19,511.3356,4.691061786656881,216.36038000000002,1.9669535329601822,27,35,22,18,1,2,5
DC,46 Graham Cunningham,26,24,24,2,2,2,193.6927,8.421656645188696,205.33286,8.555492754804167,3,20,2,1,1,1,1
PORT,47 Alex Rowell,3,3,2,0,0,0,8.292520000000001,2.7664104904,16.45376,8.225127959000002,1,11,1,0,0,0,0
MKE,47 Penny Wu,101,101,61,5,0,30,986.9521000000001,13.90069106901972,48.726760000000006,0.7988269399639344,14,44,40,29,1,10,2
MINN,47 Tori Gray,22,19,19,5,3,6,67.35758000000001,5.613094293803334,246.60948000000002,12.979246948684212,8,27,3,5,1,0,0
PHL,48 Caroline Weinberg,3,2,3,0,1,0,44.87588000000001,22.438237568,61.95322000000001,20.65061677066667,0,7,0,0,0,1,0
MINN,49 Elly Fireside-Ostergaard,14,9,14,0,5,0,-15.720780000000003,-1.7454724805644446,147.07736,10.506358010731429,11,38,0,0,0,0,0
ATL,51 Lilli Popovich,23,18,22,2,5,4,113.62284000000001,7.101465208812501,333.12300000000005,15.141966401928183,19,15,1,2,2,1,1
PORT,51 Tess Johnson,39,39,26,0,0,3,192.1064,5.488725773573715,130.04378,5.001736542030001,7,17,13,2,1,1,4
PORT,52 Caitlin Connell,16,10,15,2,6,0,20.600020000000004,2.5749827806500005,300.69684,20.04659255308,29,6,1,0,0,0,1
MKE,52 Erynn Schroeder,219,219,136,5,0,54,1893.9109200000003,11.478225511139273,187.30374000000003,1.377211368378162,77,10,83,50,4,15,5
MINN,53 Emma Piorier,54,42,53,3,12,6,175.83862,4.752430400372973,864.9711000000001,16.320233844611323,50,7,1,4,2,2,8
ATL,54 Liv Ford,100,99,77,3,1,19,1096.0239000000001,13.531154940525433,114.66214000000001,1.4890437941241559,30,24,23,16,3,9,2
MINN,55 Courtney Walbe,21,21,17,1,0,7,160.06314,10.003535924787501,-7.472019999999999,-0.440242702437647,4,35,4,4,3,1,1
MKE,55 Mia Weben,1,1,1,0,0,1,0,NA,8.34722,8.3473953682,1,2,0,1,0,0,0
MKE,55 Mia Wieben,3,3,3,0,0,0,23.25844,7.751129302666668,27.798540000000003,9.267035033933334,4,7,0,0,0,0,2
DC,55 Molly Roy,8,8,6,0,0,1,46.757560000000005,6.679610997457143,17.71186,2.951659351966667,3,5,2,1,0,0,0
PORT,55 Sophie Knowles,64,63,48,5,1,7,546.08104,10.303551022664529,178.93464000000003,3.7275412543775004,6,33,16,7,0,6,2
ATL,55 Trystan Grzyll,12,12,11,1,0,1,34.97518,3.1793096412363635,114.87,10.443429521272728,10,22,1,1,0,1,1
RAL,59 Audrey Lyman,53,52,34,0,1,11,390.8315,9.770832050524401,38.43222,1.1305038038695296,8,17,19,10,1,2,2
INDY,59 Maple Adkins-Threat,1,1,1,0,0,0,-2.05672,-2.0520071574000003,12.591940000000001,12.591864514000001,0,8,0,0,0,0,0
INDY,59 Maple Adkins-Threats,3,3,2,1,0,1,25.4902,12.745247143,14.375160000000001,7.187724189200001,1,7,1,1,0,0,1
NY,62 Casey Banta-Ryan,21,18,19,3,3,2,4.12438,0.24320965619999976,250.16498000000004,13.166530593631581,7,31,2,1,1,0,1
MKE,64 Rachel Hildebrand,1,1,1,0,0,1,0,NA,6.607760000000001,6.607053276000001,0,4,0,1,0,0,0
MKE,64 Rachel Hildedrand,2,2,1,0,0,0,9.922580000000002,4.959338851,-3.43516,-3.4371646456000007,3,0,1,0,0,0,0
NY,65 Anna Lieberman,9,8,9,1,1,3,32.50274,4.6427184815428575,98.25214,10.916615263777778,0,41,0,1,2,1,1
DC,66 Jackie Wang,98,96,70,6,2,5,557.0101000000001,6.189018631521112,256.31326,3.661611986438286,9,39,28,4,1,4,8
NY,66 Janine Hlavaty,24,22,24,2,2,4,115.16538,6.397985001622223,208.50546000000003,8.688039476891667,27,7,0,4,0,2,0
PHL,66 Jess Brand,3,2,3,2,1,0,8.48944,4.247391712100001,55.947160000000004,18.648478144600002,3,25,0,0,0,0,0
INDY,66 Mya Hernandez,47,41,47,2,5,4,170.90468,4.394237515779487,545.4355800000001,11.605175223059575,27,12,0,2,2,2,2
ATX,69 Jaime Estes,43,40,41,1,3,7,31.704120000000007,0.9056378225017144,413.76174000000003,10.091654570359513,24,5,2,5,2,4,3
PORT,69 Tahlia Quartin,10,10,4,1,0,3,24.669700000000002,3.0844235863250002,-7.712700000000001,-1.9266042840300004,11,0,6,2,1,0,0
PHL,70 Benish Benjamin,1,1,0,0,0,0,4.55104,4.5477157716,0,NA,0,2,1,0,0,0,0
NASH,71 Mattea Swegles,7,7,7,1,0,1,-16.3006,-2.3288638463428573,111.44578000000001,15.920971903942858,11,8,0,0,1,0,0
PORT,71 Shirlee Wohl,120,120,97,0,0,4,702.4683399999999,6.055672677710517,152.58018,1.5729118303336083,29,3,23,4,0,8,4
ATX,71 Wren Vogel,8,7,8,2,1,5,-0.10940000000000083,-0.02132471623199994,91.50216,11.436575133200002,11,9,0,2,3,0,1
ATL,72 Annalise Paul,18,16,16,2,2,3,92.89154,6.635060629342858,63.080040000000004,3.9426971950775003,7,18,2,2,1,0,1
NASH,72 Grace Castro,67,63,67,0,3,5,196.0448,3.4393356947417546,631.2489400000001,9.421510801340299,52,11,0,5,0,2,5
MKE,72 JJ (Jacqueline Jarik),17,16,14,5,1,7,84.3474,7.66792543882091,151.71592,10.836056704774288,12,3,3,5,2,1,1
MKE,72 Jacqueline Jarik,44,39,41,4,5,10,381.08396000000005,13.141072296537931,521.3238200000001,12.715125059068294,32,30,3,7,3,6,1
ATX,73 Clara Stewart,92,90,78,1,1,3,584.6312763440001,6.719909356046437,85.3505812618,1.0942660554702566,23,9,11,2,1,3,3
ATL,75 Sarah Kingsley-Hart,30,25,30,1,5,1,65.07112000000001,2.711468383641667,175.44478,5.848410641178668,25,10,0,0,1,0,0
PORT,76 Emma Palacio,11,11,11,0,0,3,32.601200000000006,3.26033072628,129.55148,11.776824658054547,7,15,0,1,2,1,2
RAL,77 Anna Tortorici,1,1,1,0,0,0,-11.1041,-11.099492072,14.922160000000002,14.923692694000001,0,3,0,0,0,0,0
INDY,77 Katrina Mcguire,28,26,28,1,2,4,266.20302000000004,11.573970195554784,183.93422,6.5690881275785715,17,14,0,3,1,4,2
NASH,77 Melissa Gronske,9,9,9,2,0,3,18.19322,2.599426103137143,104.21444,11.579306748377778,26,5,0,2,1,0,0
ATX,81 Mackenzie Bailey,8,8,8,0,0,0,59.579240000000006,7.447075469422501,65.57436,8.1973438598,6,3,0,0,0,1,0
ATX,81 Mckenzie Bailey,11,11,11,0,0,0,23.903900000000004,2.1731996380036365,40.871840000000006,3.7159024291818183,5,5,0,0,0,0,0
NASH,82 Mary Turner,24,23,21,3,1,4,59.72146000000001,3.143410333054737,137.65802000000002,6.554899619867619,24,13,3,3,1,0,2
ATL,87 Christina Marsciano,2,2,2,2,0,1,0,0,14.90028,7.451928580600001,4,5,0,1,0,0,0
MKE,88 Claire Kelley,18,15,18,0,3,2,19.221580000000003,1.6013841394633332,319.40424,17.744907655322223,19,0,0,2,0,0,0
RAL,88 Maddie Pletzke,7,7,7,0,0,2,10.349240000000002,2.0706623298399998,77.46614000000001,11.066927317828572,6,12,0,2,0,1,0
ATX,88 Maddy Easton,21,20,20,0,1,2,213.64726000000002,12.567668775985883,233.17283634400002,11.659264786748,12,16,0,2,0,3,3
NY,88 Nikki Hair,22,16,21,2,6,2,95.04672000000001,6.3360672004800005,427.65554000000003,20.36431515098,9,59,1,1,1,1,2
RAL,90 Qxhna Titcomb,44,42,38,3,2,6,216.54636000000002,6.187117756422857,99.38990000000001,2.6155695107189474,16,5,6,6,0,2,3
INDY,91 Samantha Philips,101,99,90,1,2,4,336.0221,3.5001950843237504,71.56948,0.795184639798,33,14,11,3,1,2,5
INDY,92 Charlotte Wilson,88,87,67,0,1,2,373.43690000000004,4.342467738146558,-24.954140000000002,-0.2667570530157612,36,18,20,1,1,2,3
ATX,95 Megan Mendieta,25,25,21,1,0,1,250.55882000000003,10.89399296728435,31.86822,1.5177894481904763,0,7,4,1,0,1,1
NY,96 Nina Finley,155,146,111,4,10,10,817.02108,5.920460157724058,407.1211600000001,3.6678648729554957,59,48,44,7,3,5,7
MKE,97 Eileen Bequette,25,16,20,9,8,6,-17.52588,-0.9062487593000004,676.8249800000001,33.84156712426,23,39,5,4,2,2,2
NY,97 Hannah Glick,12,11,12,0,1,1,-58.64934000000001,-5.86545546604,181.04606,15.086780443150001,13,22,0,1,0,1,1
RAL,99 Carmen Tormey,6,6,6,0,0,1,56.80048000000001,9.4672166673,78.72424000000001,13.120410225486667,2,9,0,0,1,0,0
MKE,99 Dana Demmert,48,45,46,3,3,12,8.205000000000009,0.22195593613286493,369.13748000000004,8.024882607347392,40,27,2,6,6,1,2
PHL,99 Veronica Kolegue-Spalaris,1,1,1,0,0,0,12.274680000000002,12.270242736000002,14.67054,14.672806768000001,0,7,0,0,0,0,0
INDY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
